Type,Name,Longitude,Latitude
Supermarkets,Skiveren Super,10.2794043,57.6160685
Supermarkets,ICA Kvantum Mobilia Lund,13.1643471,55.7168824
Supermarkets,Coop Örebrogatan,12.7212296,56.0445815
Supermarkets,Netto Greve Center,12.2951336,55.5818686
Supermarkets,SuperBrugsen Glesborg,10.7254480,56.4786837
Supermarkets,Stora Coop Väla,12.7651286,56.0934087
Supermarkets,Inco,12.5599965,55.6668998
Supermarkets,"Rema 1000 Risskov, Smedegade",10.2165946,56.1957945
Supermarkets,Willys Helsingborg Planteringen,12.7206000,56.0229000
Supermarkets,Maxi ICA Stormarknad Karlshamn,14.8436949,56.1955577
Supermarkets,ICA Supermarket Linero Torg,13.2426153,55.6945284
Supermarkets,Krokslätts livs,12.0079489,57.6746760
Supermarkets,Ica Nära Kurir Livs,12.7004469,56.0655139
Supermarkets,Hemköp Västra Frölunda Torg,11.9134543,57.6525084
Supermarkets,Handlar'n,14.5742094,57.2371074
Supermarkets,EDEKA Jörg Neumann,9.4384170,54.7440836
Supermarkets,Willys Hemma Utlandagatan,11.9901116,57.6898349
Supermarkets,Meny Haslev,11.9610815,55.3289431
Supermarkets,Coop Växjö Emil Lindells Väg,14.8192173,56.8669543
Supermarkets,Coop Konsum Oxtorget,14.7979047,56.8787105
Supermarkets,Coop Göteborg Mölndalsvägen,11.9921053,57.6911730
Supermarkets,ICA Nära Almedal,11.9945052,57.6889039
Supermarkets,Hemköp Halmstad C,12.8566685,56.6748110
Supermarkets,SuperBrugsen Asnæs Centret,11.5015364,55.8116735
Supermarkets,ICA Nära Vittsjöhallen,13.6641762,56.3402278
Supermarkets,ICA Nära Effkå,11.9249731,57.6851555
Supermarkets,Dagli'Brugsen Mejdal,8.6463098,56.3472545
Supermarkets,Coop City Kristianstad,14.1578000,56.0312823
Supermarkets,Ica Nära Tores Allköp,13.5690823,55.4232761
Supermarkets,Halligkaufmann,8.5493891,54.5661582
Supermarkets,Wiesel Matcenter,11.9339598,57.7214822
Supermarkets,Netto Lollands Centret,11.5060845,54.7743950
Supermarkets,SuperBrugsen Maribo,11.4926551,54.7761002
Supermarkets,Stora Coop Backaplan,11.9543969,57.7232977
