Type,Name,Longitude,Latitude
Public Transport Stations,Klippans station,13.1270123,56.1311278
Public Transport Stations,Fjellenstrup,12.2983736,56.1163997
Public Transport Stations,Græsted syd,12.2956377,56.0632032
Public Transport Stations,Store Heddinge,12.3859856,55.3093711
Public Transport Stations,Tarm,8.5204386,55.9100033
Public Transport Stations,Hørning,10.0381925,56.0823895
Public Transport Stations,Snedsted,8.5272962,56.8922846
Public Transport Stations,Padborg,9.3589629,54.8235559
Public Transport Stations,Lindome station,12.0784960,57.5757623
Public Transport Stations,Teglgårdsvej,9.9628548,57.4602346
Public Transport Stations,Herregårdsparken,9.9658307,57.4732312
Public Transport Stations,Tunøfærgen,10.2586746,55.9118010
Public Transport Stations,Molslinjen Odden,11.2996853,55.9745617
Public Transport Stations,Faxe Ladeplads,12.1619457,55.2169821
Public Transport Stations,Søby Havn,10.2590448,54.9413768
Public Transport Stations,Knippelsbro,12.5870225,55.6741811
Public Transport Stations,Det Kongelige Bibliotek,12.5807101,55.6722332
Public Transport Stations,Hurtigfærgerne,14.6913238,55.0997692
Public Transport Stations,Gislaveds bussterminal,13.5432851,57.3046186
Public Transport Stations,Herlev,12.4435483,55.7188384
Public Transport Stations,Buddinge,12.4941762,55.7471585
Public Transport Stations,Blovstrød Hallen,12.3828421,55.8649715
Public Transport Stations,Oskar Jensens Bro,12.3754988,55.8583852
Public Transport Stations,Vrist,8.1484001,56.6015949
Public Transport Stations,Klinkby,8.2196991,56.5654011
Public Transport Stations,Lemvig,8.3000424,56.5469936
Public Transport Stations,Victoria Street Station,8.1431155,56.5775419
Public Transport Stations,Floda,12.3617812,57.8100267
Public Transport Stations,Hässleholm Centralen,13.7641654,56.1586345
Public Transport Stations,Nyhavn,12.5943156,55.6791344
Public Transport Stations,"MF Hammershus, MF Povl Anker",14.6894519,55.0996667
Public Transport Stations,Nykøbing Sj,11.6733626,55.9217056
Public Transport Stations,Egøje,12.1900413,55.4243351
Public Transport Stations,Landskrona Skeppsbron,12.8272056,55.8659162
Public Transport Stations,Molslinjen Ebeltoft,10.6676079,56.1542272
Public Transport Stations,Fährhafen Dagebüll Anleger 1,8.6900006,54.7312098
Public Transport Stations,Fährhafen Dagebüll Anleger 3,8.6903226,54.7303125
Public Transport Stations,Fährhafen Dagebüll Anleger 2,8.6908055,54.7307068
Public Transport Stations,Fährhafen Wyk Anleger 2,8.5757743,54.6928410
Public Transport Stations,Schlüttsiel,8.7539841,54.6816420
Public Transport Stations,Islev,12.4693860,55.6988768
Public Transport Stations,Jyllingevej,12.4779237,55.6903652
Public Transport Stations,Skovlunde,12.4027132,55.7230635
Public Transport Stations,Måløv,12.3181279,55.7473861
Public Transport Stations,Frederikssund,12.0661855,55.8349843
Public Transport Stations,Ølstykke,12.1593166,55.7957669
Public Transport Stations,Egedal,12.1854997,55.7797855
Public Transport Stations,Veksø,12.2405908,55.7499170
Public Transport Stations,Kildedal,12.2864603,55.7519613
Public Transport Stations,Vesterport,12.5624100,55.6758170
Public Transport Stations,Dybbølsbro,12.5595897,55.6650983
Public Transport Stations,Ryparken,12.5596915,55.7154843
Public Transport Stations,Svanemøllen,12.5788253,55.7155342
Public Transport Stations,Nordhavn,12.5910118,55.7049718
Public Transport Stations,Bagsværd,12.4545574,55.7615864
Public Transport Stations,Stengården,12.4731006,55.7567178
Public Transport Stations,Vangede,12.5242143,55.7392848
Public Transport Stations,Kildebakke,12.5079642,55.7446631
Public Transport Stations,Dyssegård,12.5360326,55.7323761
Public Transport Stations,Værløse,12.3719152,55.7824512
Public Transport Stations,Hareskov,12.4079689,55.7652202
Public Transport Stations,Skovbrynet,12.4337301,55.7651626
Public Transport Stations,Farum,12.3737085,55.8121053
Public Transport Stations,Hellerup,12.5669110,55.7305908
Public Transport Stations,Gentofte,12.5414360,55.7535946
Public Transport Stations,Frederiksværk,12.0194657,55.9684351
Public Transport Stations,Næstved Nord,11.7863882,55.2482225
Public Transport Stations,Nørrebro,12.5378036,55.7006813
Public Transport Stations,Fuglebakken,12.5266803,55.6953074
Public Transport Stations,Flintholm,12.4988664,55.6855434
Public Transport Stations,Grøndal,12.5153054,55.6905327
Public Transport Stations,Danshøj,12.4937549,55.6643892
Public Transport Stations,Ålholm,12.4931707,55.6720657
Public Transport Stations,KB Hallen,12.4923389,55.6778138
Public Transport Stations,Vigerslev Allé,12.4990504,55.6597688
Public Transport Stations,Emdrup,12.5410549,55.7207286
Public Transport Stations,Frölunda Torg,11.9095619,57.6520008
Public Transport Stations,Randers,10.0212525,56.4617821
Public Transport Stations,Randers - Busterminal,10.0398597,56.4586256
Public Transport Stations,Skodsborg,12.5716763,55.8234905
Public Transport Stations,Helsingborg C,12.6956824,56.0428986
Public Transport Stations,Glostrup Station,12.3975969,55.6634929
Public Transport Stations,Varde Vest,8.4759347,55.6244403
Public Transport Stations,Himmelbjergbådene,9.7535299,56.0930619
Public Transport Stations,Rødby Færge,11.3548990,54.6549052
Public Transport Stations,Niebüll,8.8346687,54.7892824
Public Transport Stations,Westerland (Sylt),8.3130412,54.9059163
Public Transport Stations,Langenhorn (Schleswig),8.9463734,54.6860086
Public Transport Stations,Bredstedt,8.9703755,54.6211379
Public Transport Stations,Ulfborg,8.3251704,56.2717392
